,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
AL,0,1596,459,2164,1458,1160,931,547,274,2146,731,617,935,1023,504,389,1509,868,1263,939,1331,158,622,1977,1400,2091,1327,1031,1229,1216,585,1640,708,811,2434,981,1229,399,1328,262,830,1758,1401,670,2561,709,938,1613
AZ,1596,0,1235,735,645,2435,2320,2149,1884,988,1544,1660,1365,957,1737,1335,2793,2258,2548,1928,1621,1440,1275,1182,1061,681,2547,2319,421,2389,2079,1513,1821,934,1194,2177,2522,1933,1247,1590,826,553,2530,2078,1448,1975,1682,954
AR,459,1235,0,1803,1047,1308,1087,993,650,1767,471,572,598,612,544,348,1655,1024,1410,848,956,322,242,1547,749,1730,1474,1183,869,1210,846,1171,725,356,2055,1065,1376,700,898,357,584,1413,1418,844,2130,787,726,1183
CA,2164,735,1803,0,1140,2991,2847,2705,2452,908,2083,2228,1848,1537,2305,1903,3339,2780,3094,2403,1990,2008,1843,1258,1457,533,3081,2887,989,2922,2647,1715,2389,1502,666,2733,3078,2501,1630,2158,1406,772,3063,2646,953,2543,2166,1158
CO,1458,645,1047,1140,0,1919,1832,1965,1623,867,1011,1188,777,465,1272,1164,2169,1765,2023,1332,986,1269,884,780,385,824,2009,1863,424,1851,1720,791,1350,792,1131,1661,2006,1672,571,1284,746,432,2008,1668,1328,1509,1094,395
CT,1160,2435,1308,2991,1919,0,284,1243,1014,2526,994,824,1167,1525,797,1477,369,302,124,891,1430,1246,1161,2186,1540,2637,188,167,2066,167,607,1740,611,1577,2814,260,107,816,1604,1016,1867,2282,260,502,2837,581,1037,1994
DE,931,2320,1087,2847,1832,284,0,1013,783,2441,861,684,1082,1372,613,1257,633,71,388,806,1345,1025,1009,2101,1455,2552,452,156,1954,188,377,1655,527,1441,2729,276,354,586,1519,795,1646,2197,525,272,2772,396,952,1909
FL,547,2149,993,2705,1965,1243,1013,0,366,2648,1185,1070,1388,1531,861,833,1588,948,1343,1392,1784,731,1161,2480,1682,2632,1407,1111,1770,1342,667,2094,1059,1279,2936,1125,1309,497,1831,718,1371,2331,1481,807,3063,905,1391,2116
GA,274,1884,650,2452,1623,1014,783,366,0,2306,843,728,1047,1189,519,649,1361,721,1116,1050,1442,487,819,2138,1340,2389,1180,884,1527,916,440,1752,762,1014,2594,847,1082,187,1489,376,1158,1989,1254,511,2721,592,1049,1774
ID,2146,988,1767,908,867,2526,2441,2648,2306,0,1645,1847,1410,1194,1979,1933,2901,2399,2656,1965,1229,2038,1591,528,1019,482,2643,2496,1019,2484,2427,954,2000,1538,395,2295,2640,2379,1002,1991,1436,499,2626,2375,591,2216,1611,518
IL,731,1544,471,2083,1011,994,861,1185,843,1645,0,206,262,611,409,831,1245,788,1099,408,615,655,274,1370,634,1731,1085,894,1179,927,811,924,397,690,1909,737,1083,828,714,503,994,1377,1084,759,1947,600,256,1089
IN,617,1660,572,2228,1188,824,684,1070,728,1847,206,0,463,752,243,886,1169,616,924,323,735,702,389,1491,835,1934,911,723,1294,739,639,1045,225,805,2112,558,904,663,909,389,1109,1553,893,588,2162,429,343,1291
IA,935,1365,598,1848,777,1167,1082,1388,1047,1410,262,463,0,451,665,952,1417,1013,1270,580,404,822,323,1119,398,1495,1257,1111,996,1098,1067,713,615,634,1673,909,1254,1085,470,715,918,1141,1239,1016,1702,857,324,852
KS,1023,957,612,1537,465,1525,1372,1531,1189,1194,611,752,451,0,836,855,1886,1305,1641,994,710,902,448,1023,230,1222,1641,1412,577,1482,1285,717,914,357,1473,1270,1615,1237,416,849,562,830,1623,1233,1669,1074,763,637
KY,504,1737,544,2305,1272,797,613,861,519,1979,409,243,665,836,0,825,1145,544,900,554,961,594,466,1717,987,2028,964,681,1371,700,470,1271,249,882,2242,554,866,427,1120,268,1117,1637,942,419,2353,260,569,1421
LA,389,1335,348,1903,1164,1477,1257,833,649,1933,831,886,952,855,825,0,1825,1194,1580,1164,1306,233,582,1856,1079,1831,1644,1353,970,1530,947,1520,1006,469,2198,1303,1546,767,1231,578,570,1498,1685,1014,2394,1030,1088,1453
ME,1509,2793,1655,3339,2169,369,633,1588,1361,2901,1245,1169,1417,1886,1145,1825,0,652,254,1000,1435,1601,1522,2220,1791,2888,244,517,2427,465,957,1773,970,1938,3066,618,317,1166,1857,1371,2222,2534,240,852,2891,936,1290,2245
MD,868,2258,1024,2780,1765,302,71,948,721,2399,788,616,1013,1305,544,1194,652,0,406,737,1277,963,944,2031,1386,2483,470,174,1849,405,314,1586,459,1379,2661,198,372,523,1451,733,1584,2130,543,210,2684,328,884,1842
MA,1263,2548,1410,3094,2023,124,388,1343,1116,2656,1099,924,1270,1641,900,1580,254,406,0,865,1535,1356,1277,2291,1645,2742,76,281,2182,205,712,1845,725,1693,2912,374,76,922,1709,1126,1977,2387,212,608,2962,692,1142,2099
MI,939,1928,848,2403,1332,891,806,1392,1050,1965,408,323,580,994,554,1164,1000,737,865,0,707,986,658,1491,953,2050,850,836,1562,815,853,1154,365,1074,2228,635,889,926,1019,710,1378,1696,836,802,2265,659,452,1408
MN,1331,1621,956,1990,986,1430,1345,1784,1442,1229,615,735,404,710,961,1306,1435,1277,1535,707,0,1193,714,793,568,1561,1522,1373,1275,1364,1360,347,880,993,1601,1174,1520,1379,450,1102,1277,1301,1272,1308,1465,1149,426,869
MS,158,1440,322,2008,1269,1246,1025,731,487,2038,655,702,822,902,594,233,1601,963,1356,986,1193,0,485,1841,1043,1934,1413,1122,1073,1149,716,1464,792,581,2297,1071,1315,535,1192,347,673,1601,1454,783,2424,798,910,1477
MO,622,1275,242,1843,884,1161,1009,1161,819,1591,274,389,323,448,466,582,1522,944,1277,658,714,485,0,1400,603,1643,1277,1048,911,1118,915,1024,551,423,1857,907,1252,867,751,479,727,1252,1259,863,1984,704,529,1037
MT,1977,1182,1547,1258,780,2186,2101,2480,2138,528,1370,1491,1119,1023,1717,1856,2220,2031,2291,1491,793,1841,1400,0,804,831,2278,2131,1155,2119,2115,524,1635,1432,869,1930,2275,2134,659,1797,1423,694,2057,2063,664,1904,1181,423
NE,1400,1061,749,1457,385,1540,1455,1682,1340,1019,634,835,398,230,987,1079,1791,1386,1645,953,568,1043,603,804,0,1104,1631,1485,713,1463,1436,516,989,579,1282,1283,1628,1388,215,1000,728,750,1613,1384,1388,1225,708,454
NV,2091,681,1730,533,824,2637,2552,2632,2389,482,1731,1934,1495,1222,2028,1831,2888,2483,2742,2050,1561,1934,1643,831,1104,0,2729,2582,917,2570,2476,1290,2086,1429,554,2381,2726,2429,1229,2040,1333,457,2727,2425,884,2265,1814,757
NH,1327,2547,1474,3081,2009,188,452,1407,1180,2643,1085,911,1257,1641,964,1644,244,470,76,850,1522,1413,1277,2278,1631,2729,0,343,2182,200,775,1831,725,1693,2906,436,138,984,1696,1189,1998,2374,139,670,2949,745,1129,2085
NJ,1031,2319,1183,2887,1863,167,156,1111,884,2496,894,723,1111,1412,681,1353,517,174,281,836,1373,1122,1048,2131,1485,2582,343,0,1952,278,478,1684,556,1464,2758,233,245,687,1548,892,1743,2226,416,355,2781,464,981,1938
NM,1229,421,869,989,424,2066,1954,1770,1527,1019,1179,1294,996,577,1371,970,2427,1849,2182,1562,1275,1073,911,1155,713,917,2182,1952,0,2022,1712,1165,1454,567,1294,1810,2155,1566,899,1223,450,595,2163,1711,1490,1607,1315,769
NY,1216,2389,1210,2922,1851,167,188,1342,916,2484,927,739,1098,1482,700,1530,465,405,205,815,1364,1149,1118,2119,1463,2570,200,278,2022,0,711,1680,574,1542,2755,280,247,920,1545,1041,1847,2223,164,606,2798,613,978,1934
NC,585,2079,846,2647,1720,607,377,667,440,2427,811,639,1067,1285,470,947,957,314,712,853,1360,716,915,2115,1436,2476,775,478,1712,711,0,1671,501,1197,2690,506,673,206,1536,554,1388,2085,844,155,2768,347,969,1869
ND,1640,1513,1171,1715,791,1740,1655,2094,1752,954,924,1045,713,717,1271,1520,1773,1586,1845,1154,347,1464,1024,524,516,1290,1831,1684,1165,1680,1671,0,1189,1038,1332,1483,1828,1688,322,1411,1233,1032,1594,1617,1195,1458,734,600
OH,708,1821,725,2389,1350,611,527,1059,762,2000,397,225,615,914,249,1006,970,459,725,365,880,792,551,1635,989,2086,725,556,1454,574,501,1189,0,982,2262,354,700,574,1052,480,1301,1730,707,449,2299,286,485,1441
OK,811,934,356,1502,792,1577,1441,1279,1014,1538,690,805,634,357,882,469,1938,1379,1693,1074,993,581,423,1432,579,1429,1693,1464,567,1542,1197,1038,982,0,1800,1314,1659,1052,732,709,341,1096,1667,1197,1996,1111,936,1046
OR,2434,1194,2055,666,1131,2814,2729,2936,2594,395,1909,2112,1673,1473,2242,2198,3066,2661,2912,2228,1601,2297,1857,869,1282,554,2906,2758,1294,2755,2690,1332,2262,1800,0,2558,2903,2642,1348,2254,1699,763,2904,2638,359,2479,1991,864
PA,981,2177,1065,2733,1661,260,276,1125,847,2295,737,558,909,1270,554,1303,618,198,374,635,1174,1071,907,1930,1283,2381,436,233,1810,280,506,1483,354,1314,2558,0,365,677,1344,818,1624,2022,448,373,2597,336,777,1734
RI,1229,2522,1376,3078,2006,107,354,1309,1082,2640,1083,904,1254,1615,866,1546,317,372,76,889,1520,1315,1252,2275,1628,2726,138,245,2155,247,673,1828,700,1659,2903,365,0,885,1691,1083,1934,2369,274,571,2944,648,1124,2081
SC,399,1933,700,2501,1672,816,586,497,187,2379,828,663,1085,1237,427,767,1166,523,922,926,1379,535,867,2134,1388,2429,984,687,1566,920,206,1688,574,1052,2642,677,885,0,1537,425,1208,2038,1056,340,2770,421,989,1823
SD,1328,1247,898,1630,571,1604,1519,1831,1489,1002,714,909,470,416,1120,1231,1857,1451,1709,1019,450,1192,751,659,215,1229,1696,1548,899,1545,1536,322,1052,732,1348,1344,1691,1537,0,1148,914,936,1699,1481,1242,1322,598,495
TN,262,1590,357,2158,1284,1016,795,718,376,1991,503,389,715,849,268,578,1371,733,1126,710,1102,347,479,1797,1000,2040,1189,892,1223,1041,554,1411,480,709,2254,818,1083,425,1148,0,917,1649,1172,553,2381,541,709,1434
TX,830,826,584,1406,746,1867,1646,1371,1158,1436,994,1109,918,562,1117,570,2222,1584,1977,1378,1277,673,727,1423,728,1333,1998,1743,450,1847,1388,1233,1301,341,1699,1624,1934,1208,914,917,0,999,1980,1403,1895,1360,1236,1037
UT,1758,553,1413,772,432,2282,2197,2331,1989,499,1377,1553,1141,830,1637,1498,2534,2130,2387,1696,1301,1601,1252,694,750,457,2374,2226,595,2223,2085,1032,1730,1096,763,2022,2369,2038,936,1649,999,0,2356,2033,960,1874,1459,461
VT,1401,2530,1418,3063,2008,260,525,1481,1254,2626,1084,893,1239,1623,942,1685,240,543,212,836,1272,1454,1259,2057,1613,2727,139,416,2163,164,844,1594,707,1667,2904,448,274,1056,1699,1172,1980,2356,0,745,2730,797,1129,2084
VA,670,2078,844,2646,1668,502,272,807,511,2375,759,588,1016,1233,419,1014,852,210,608,802,1308,783,863,2063,1384,2425,670,355,1711,606,155,1617,449,1197,2638,373,571,340,1481,553,1403,2033,745,0,2715,219,917,1817
WA,2561,1448,2130,953,1328,2837,2772,3063,2721,591,1947,2162,1702,1669,2353,2394,2891,2684,2962,2265,1465,2424,1984,664,1388,884,2949,2781,1490,2798,2768,1195,2299,1996,359,2597,2944,2770,1242,2381,1895,960,2730,2715,0,2554,1830,971
WV,709,1975,787,2543,1509,581,396,905,592,2216,600,429,857,1074,260,1030,936,328,692,659,1149,798,704,1904,1225,2265,745,464,1607,613,347,1458,286,1111,2479,336,648,421,1322,541,1360,1874,797,219,2554,0,759,1659
WI,938,1682,726,2166,1094,1037,952,1391,1049,1611,256,343,324,763,569,1088,1290,884,1142,452,426,910,529,1181,708,1814,1129,981,1315,978,969,734,485,936,1991,777,1124,989,598,709,1236,1459,1129,917,1830,759,0,1083
WY,1613,954,1183,1158,395,1994,1909,2116,1774,518,1089,1291,852,637,1421,1453,2245,1842,2099,1408,869,1477,1037,423,454,757,2085,1938,769,1934,1869,600,1441,1046,864,1734,2081,1823,495,1434,1037,461,2084,1817,971,1659,1083,0